测试用例编号,测试标题,测试步骤,测试类别,预期结果,实际结果,执行人,执行日期,备注
TC-028,批量删除无退件信息草稿,"1. 选中多条草稿记录（无退件信息）
2. 点击删除
3. 确认删除",功能测试,"全部删除成功，显示""删除成功""提示",通过,XU Feiran,3/11/2026,
TC-029,批量删除含退件信息（全部有退件信息）,"1. 选中多条记录（全部有关联退件信息）
2. 点击删除",功能测试,显示警告对话框，列出所有订单号和退件信息数量，只有取消按钮,通过,XU Feiran,3/11/2026,
TC-030,批量删除含退件信息（部分有退件信息）,"1. 选中多条记录（部分有退件信息）
2. 点击删除",功能测试,显示警告对话框，列出有退件信息的订单号和数量，只有取消按钮,通过,XU Feiran,3/11/2026,
TC-031,批量删除含已提交（QMC Leader）,"1. QMC Leader登录
2. 选中草稿和已提交订单（均无退件信息）
3. 点击删除
4. 确认删除",功能测试,全部删除成功,通过,XU Feiran,3/11/2026,
TC-032,批量删除含已提交（其他用户）,"1. 非QMC Leader用户登录
2. 选中含已提交订单
3. 查看删除按钮",权限测试,删除按钮不可见,通过,XU Feiran,3/11/2026,
TC-033,提交生成单号,"1. 创建草稿退货单
2. 点击提交
3. 确认提交",状态测试,状态变为「已提交」，生成退货单号,通过,XU Feiran,3/11/2026,
TC-034,单号格式验证,"1. 提交退货单
2. 查看生成的退货单号",功能测试,格式为：{年份后两位}QMC{4位序号},通过,XU Feiran,3/11/2026,
TC-035,单号唯一性,"1. 创建多个退货单
2. 依次提交",功能测试,每个退货单号唯一，不重复,通过,XU Feiran,3/11/2026,
TC-036,草稿状态显示,"1. 创建退货单
2. 查看列表状态列",状态测试,显示「草稿」标签，灰色,通过,XU Feiran,3/11/2026,
TC-037,已提交状态显示,"1. 提交退货单
2. 查看列表状态列",状态测试,显示「已提交」标签，蓝色,通过,XU Feiran,3/11/2026,
TC-038,退件登记/已完成状态显示,"1. 结束录入退货单
2. 查看列表状态列",状态测试,显示「退件登记/已完成」标签，蓝色,通过,XU Feiran,6/2/2026,
TC-039,已报废状态显示,"1. 所有关联分析单完成报废
2. 查看列表状态列",状态测试,显示「已报废」标签，红色,通过,XU Feiran,6/2/2026,
TC-040,状态筛选查询,"1. 选择状态筛选
2. 分别选择草稿/已提交/退件登记/已报废
3. 点击查询",状态测试,仅显示对应状态的退货单,通过,XU Feiran,3/11/2026,
TC-041,详情页状态步骤条,"1. 进入退货单详情页
2. 查看状态步骤条",状态测试,正确显示 4 步步骤条：草稿→已提交→退件登记→已报废，已完成节点高亮,通过,XU Feiran,6/2/2026,
TC-042,状态不可逆,"1. 已提交退货单
2. 尝试回退到草稿状态",状态测试,无法回退，状态只能向前流转,通过,XU Feiran,3/11/2026,
TC-043,草稿状态可编辑,"1. 创建草稿退货单
2. 点击编辑",功能测试,可以编辑,通过,XU Feiran,3/11/2026,
TC-044,非草稿状态不可编辑（普通用户）,"1. 查看已提交/已登记退货单（非QMC Leader）
2. 查看编辑按钮",权限测试,编辑按钮不可见,通过,XU Feiran,3/11/2026,
TC-045,查看详情,"1. 点击退货单号链接
2. 查看详情页",功能测试,显示完整退货单信息和关联退件信息,通过,XU Feiran,3/11/2026,
TC-046,查看关联退件信息,"1. 进入退货单详情
2. 查看退件信息列表",功能测试,显示关联的所有退件信息,通过,XU Feiran,3/11/2026,
TC-047,查看状态步骤条,"1. 进入退货单详情
2. 查看状态步骤条",状态测试,正确显示当前状态节点,通过,XU Feiran,3/11/2026,
TC-048,退件信息分页显示,"1. 进入有关联退件信息的退货单详情
2. 查看退件信息列表分页器",功能测试,显示分页器，每页显示默认数量（如10条）,通过,XU Feiran,3/11/2026,
TC-049,退件信息翻页功能,"1. 退件信息数量超过一页
2. 点击下一页按钮",功能测试,正确跳转到下一页，显示对应数据,通过,XU Feiran,3/11/2026,
TC-050,退件信息页码跳转,"1. 退件信息有多页
2. 点击具体页码",功能测试,跳转到指定页，显示对应数据,通过,XU Feiran,3/11/2026,
TC-051,退件信息每页条数切换,"1. 点击每页条数选择器
2. 选择不同数量（如20/50/100）",功能测试,每页显示对应数量的退件信息，分页器更新,通过,XU Feiran,3/11/2026,
TC-052,退件信息总数显示,1. 查看退件信息列表区域,功能测试,"显示""共 X 条""信息",通过,XU Feiran,3/11/2026,
TC-053,无退件信息显示,1. 进入无退件信息的退货单详情,功能测试,"显示""暂无退件信息""提示",通过,XU Feiran,3/11/2026,
TC-054,退件信息排序,"1. 点击退件信息列表表头
2. 按某字段排序",功能测试,列表按选中字段排序显示,通过,XU Feiran,3/11/2026,
TC-055,新增退件信息后刷新,"1. 在详情页新增退件信息
2. 返回详情页",功能测试,退件信息列表自动刷新，显示新数据,通过,XU Feiran,3/11/2026,
TC-056,导出全部数据,"1. 不设置筛选条件
2. 点击导出",功能测试,导出所有退货单数据,通过,XU Feiran,6/4/2026,
TC-057,导出筛选数据,"1. 设置筛选条件
2. 查询数据
3. 点击导出",功能测试,仅导出筛选后的数据,通过,XU Feiran,6/4/2026,
TC-058,文件格式验证,1. 打开导出的 Excel 文件,功能测试,文件格式正确，数据完整,通过,XU Feiran,6/4/2026,
TC-059,文件名,1. 执行导出,功能测试,文件名包含日期，格式为 ReturnOrders_YYYYMMDD.xlsx,通过,XU Feiran,6/4/2026,
TC-060,退货单已报废状态自动触发,"1. 创建退货单并提交
2. 结束录入
3. 所有关联分析单完成 WorkON 确认
4. 检查退货单状态",状态测试,退货单状态自动变更为「已报废」,通过,XU Feiran,6/4/2026,
TC-061,退货单部分报废保持已登记,"1. 退货单有 3 个分析单
2. 仅 2 个完成报废
3. 检查退货单状态",功能测试,退货单状态保持「退件登记/已完成」,通过,XU Feiran,6/4/2026,
TC-062,已报废退货单不可编辑,"1. 进入已报废退货单详情
2. 点击编辑按钮",权限测试,"提示""已报废的退货单不允许编辑""",通过,XU Feiran,6/4/2026,
TC-063,已报废退货单不可删除,"1. 已报废退货单
2. 调用删除接口",权限测试,返回错误，状态不变,通过,XU Feiran,6/4/2026,
TC-064,已报废退货单列表筛选,"1. 列表页筛选选择""已报废""
2. 查看列表结果",功能测试,仅显示已报废状态退货单,通过,XU Feiran,6/4/2026,
TC-065,已报废退货单详情展示,1. 进入已报废退货单详情,功能测试,显示红色标签和报废摘要（X/Y 分析单已报废）,通过,XU Feiran,6/4/2026,
TC-066,已报废退货单表单禁用,1. 已报废退货单详情页,功能测试,所有表单控件禁用，操作按钮隐藏,通过,XU Feiran,6/4/2026,
TC-067,已报废退货单状态回退,"1. 已报废退货单
2. 尝试修改状态",状态测试,不允许回退到其他状态,通过,XU Feiran,6/4/2026,
TC-068,结束录入按钮显示（draft）,1. 进入「草稿」状态的退货单详情,功能测试,显示「结束录入」按钮，但按钮为禁用（灰色不可点击）,通过,XU Feiran,6/4/2026,
TC-069,结束录入按钮显示（submitted）,1. 进入「已提交」状态且已有退件信息的退货单详情,功能测试,显示「结束录入」按钮，且按钮可用,通过,XU Feiran,6/4/2026,
TC-070,结束录入前确认弹窗,1. 点击「结束录入」按钮,功能测试,"弹出确认弹窗，警告""结束后将无法再添加或删除退件信息""",通过,XU Feiran,6/4/2026,
TC-071,结束录入成功,1. 确认结束录入,状态测试,退货单状态变为 registered（退件登记/已完成）,通过,XU Feiran,6/4/2026,
TC-072,自动创建分析单,"1. 退货单下有 3 条退件信息，分别指定 analyst 为 A、A、B
2. 结束录入",功能测试,创建 2 个分析单（A 和 B 各一个），分析单关联对应 analyst 的退件信息,通过,XU Feiran,6/4/2026,
TC-073,无退件信息时拒绝,"1. 退货单下无任何退件信息
2. 点击「结束录入」",功能测试,"提示""请先添加退件信息""，无法结束录入",通过,XU Feiran,6/4/2026,
TC-074,存在未提交退件时按钮禁用,"1. 进入「已提交」退货单详情
2. 添加退件信息并暂存（状态为 in_initial_analysis）
3. 查看「结束录入」按钮",功能测试,"按钮为禁用状态，鼠标悬停显示""存在未提交的退件，请先提交所有退件后再结束录入""",通过,XU Feiran,6/4/2026,
TC-075,部分退件未提交时按钮禁用,"1. 进入「已提交」退货单详情
2. 添加 3 条退件信息，提交 2 条，暂存 1 条（状态为 in_initial_analysis）
3. 查看「结束录入」按钮",功能测试,按钮为禁用状态，提示存在未提交退件,通过,XU Feiran,6/4/2026,
TC-076,全部退件已提交时按钮可用,"1. 进入「已提交」退货单详情
2. 添加退件信息并全部提交（状态为 initial_analysis_completed）
3. 查看「结束录入」按钮",功能测试,按钮为可用状态（蓝色可点击）,通过,XU Feiran,6/4/2026,
TC-077,未提交退件时 API 拒绝结束录入,"1. 退货单下有 in_initial_analysis 状态退件
2. 直接调用 POST /api/v1/return-orders/{id}/end-entry",接口测试,"返回 400，提示""N part(s) have not been submitted""",通过,XU Feiran,6/4/2026,
TC-078,结束后不可添加退件信息,"1. 结束录入后
2. 尝试点击「新增退件信息」",权限测试,「新增退件信息」按钮不可见或禁用,通过,XU Feiran,6/4/2026,
TC-079,结束后不可删除退件信息,"1. 结束录入后
2. 尝试删除退件信息",权限测试,删除按钮不可见,通过,XU Feiran,6/4/2026,
TC-080,已 registered 状态下按钮不可见,1. 进入已结束录入的退货单详情,权限测试,「结束录入」按钮不可见,通过,XU Feiran,6/4/2026,
TC-081,重复调用幂等性,"1. 已结束录入的退货单
2. 再次调用 POST /api/v1/return-orders/{id}/end-entry",接口测试,不重复创建分析单，返回成功,通过,XU Feiran,6/4/2026,
TC-082,0km 投诉类型分析单初始状态,"1. 投诉类型为 BA20 的退货单
2. 结束录入",功能测试,创建的分析单初始状态为 analysis_completed,通过,XU Feiran,6/4/2026,
TC-083,非 0km 投诉类型分析单初始状态,"1. 投诉类型为 BA40 的退货单
2. 结束录入",功能测试,创建的分析单初始状态为 pending_sampling,通过,XU Feiran,6/4/2026,
TC-084,draft 状态可添加,"1. 进入草稿退货单详情
2. 点击「新增退件信息」",功能测试,可正常添加,通过,XU Feiran,6/4/2026,
TC-085,submitted 状态可添加,"1. 进入已提交退货单详情
2. 点击「新增退件信息」",功能测试,可正常添加,通过,XU Feiran,6/4/2026,
TC-086,registered 状态不可添加,"1. 进入已结束录入的退货单详情
2. 查看添加按钮",权限测试,「新增退件信息」按钮不可见或禁用,通过,XU Feiran,6/4/2026,
TC-087,scrapped 状态不可添加,"1. 进入已报废退货单详情
2. 查看添加按钮",权限测试,「新增退件信息」按钮不可见或禁用,通过,XU Feiran,6/4/2026,
TC-088,新建时填写 otherInfo,"1. 新建退货单
2. 在「其他信息」字段输入内容
3. 保存",功能测试,保存成功，详情页显示 otherInfo 内容,通过,XU Feiran,6/4/2026,
TC-089,编辑时修改 otherInfo,"1. 编辑已有退货单
2. 修改「其他信息」
3. 保存",功能测试,保存成功，详情页更新,通过,XU Feiran,6/4/2026,
TC-090,详情页展示 otherInfo,1. 查看退货单详情,功能测试,otherInfo 字段正确显示，为空时显示 `-`,通过,XU Feiran,6/4/2026,
TC-091,按退货单号查询,"1. 输入关联订单号
2. 点击查询",功能测试,显示该退货单的退件信息,通过,XU Feiran,6/4/2026,
TC-092,按零件号查询,"1. 输入零件号
2. 点击查询",功能测试,显示该零件号的退件信息,通过,XU Feiran,6/4/2026,
TC-093,按业务单元筛选,"1. 选择业务单元
2. 点击查询",功能测试,显示该业务单元的退件信息,通过,XU Feiran,6/4/2026,
TC-094,按产品平台筛选,"1. 选择产品平台
2. 点击查询",功能测试,显示该产品平台的退件信息,通过,XU Feiran,6/4/2026,
TC-095,按状态筛选,"1. 选择状态
2. 点击查询",状态测试,显示该状态的退件信息,通过,XU Feiran,6/4/2026,
TC-096,按QC创建状态筛选,"1. 选择""已创建QC""
2. 点击查询",状态测试,仅显示已录入QC号的退件信息,通过,XU Feiran,6/4/2026,
TC-097,按分析师查询,"1. 输入分析师名称（支持模糊）
2. 点击查询",权限测试,仅显示匹配该分析师的退件信息,通过,XU Feiran,6/4/2026,
TC-098,按分析师查询（部分匹配）,"1. 输入分析师名称的部分字符
2. 点击查询",权限测试,模糊匹配，显示名称包含输入内容的记录,通过,XU Feiran,6/4/2026,
TC-099,按分析师查询（清空重置）,"1. 输入分析师名称并查询
2. 清空分析师输入框
3. 点击查询",权限测试,显示全部退件信息,通过,XU Feiran,6/4/2026,
TC-100,列表显示分析师列,1. 打开退件信息列表页,权限测试,"列表中显示""分析师""列，展示各退件信息的分析师信息",通过,XU Feiran,6/4/2026,
TC-101,分析师列排序,1. 点击分析师列表头排序,权限测试,列表按分析师字段升序/降序排列,通过,XU Feiran,6/4/2026,
TC-102,按生产日期范围筛选,"1. 选择生产日期范围
2. 点击查询",功能测试,仅显示生产日期在范围内的退件信息,通过,XU Feiran,6/4/2026,
TC-103,按行驶里程范围筛选（手动输入）,"1. 在公里数范围输入框填入下限 10,000、上限 80,000
2. 点击查询",功能测试,"仅显示行驶里程在 10,000–80,000 km 范围内的退件信息",通过,XU Feiran,6/4/2026,
TC-104,按行驶里程范围筛选（滑块拖拽）,"1. 拖动公里数范围滑块至任意位置
2. 点击查询",功能测试,滑块位置对应的实际公里数写入输入框，查询结果符合该范围,通过,XU Feiran,6/4/2026,
TC-105,行驶里程范围-仅设下限,"1. 在下限输入框输入 50,000
2. 上限输入框留空（显示""不限""）
3. 点击查询",功能测试,"显示行驶里程 ≥ 50,000 km 的所有退件信息，不设上限",通过,XU Feiran,6/4/2026,
TC-106,行驶里程范围-仅设上限,"1. 在上限输入框输入 100,000
2. 下限输入框留空（显示""不限""）
3. 点击查询",功能测试,"显示行驶里程 ≤ 100,000 km 的所有退件信息，不设下限",通过,XU Feiran,6/4/2026,
TC-107,行驶里程范围-不设限制,"1. 上下限输入框均留空（显示""不限""）
2. 点击查询",功能测试,不按里程过滤，显示全部退件信息,通过,XU Feiran,6/4/2026,
TC-108,行驶里程滑块非线性精度,"1. 拖动滑块手柄在 0–10 万 km 区间内微调
2. 观察对应实际公里数变化",功能测试,0–10 万 km 区间占滑块约 58% 长度，步进精度明显高于 10–30 万区间,通过,XU Feiran,6/4/2026,
TC-109,生产日期和里程范围清空,"1. 设置生产日期范围和里程范围
2. 点击重置",功能测试,"范围筛选条件清空，里程输入框恢复为""不限""，显示全部数据",通过,XU Feiran,6/4/2026,
TC-110,正常创建,"1. 从退货单详情点击""新增退件信息""
2. 填写必填项（关联订单、零件号）
3. 点击暂存",功能测试,"退件信息创建成功，状态为""待初分析""",通过,XU Feiran,6/4/2026,
TC-111,关联退货单预填,"1. 从退货单详情点击""新增退件信息""",功能测试,关联退货单自动填充,通过,XU Feiran,6/4/2026,
TC-112,必填项验证,"1. 不填写必填项
2. 点击暂存",功能测试,表单验证失败，提示必填项,通过,XU Feiran,6/4/2026,
TC-113,取消创建,"1. 填写部分信息
2. 点击取消",功能测试,返回列表，数据不保存,通过,XU Feiran,6/4/2026,
TC-114,退货单下拉仅显示已提交状态,"1. 直接访问""新建退件信息""页面（非从退货单详情进入）
2. 查看关联退货单下拉框",功能测试,下拉框仅显示状态为 submitted 的退货单，不显示 draft 的退货单,通过,XU Feiran,6/4/2026,
TC-115,新建模式不可选择已关闭订单,"1. 创建状态为 registered/scrapped 的退货单
2. 新建退件信息
3. 查看关联退货单下拉",功能测试,下拉框中不显示已关闭状态退货单,通过,XU Feiran,6/4/2026,
TC-116,otherInfo 可选填,"1. 新建退件信息
2. 在「其他信息」字段输入内容
3. 保存",功能测试,保存成功，详情页显示 otherInfo,通过,XU Feiran,6/4/2026,
TC-117,客户失效类型仅显示三项,"1. 打开新建退件信息表单
2. 查看「客户失效类型」下拉",功能测试,仅显示 NVH / 功能 / 外观 三个选项,通过,XU Feiran,6/4/2026,
TC-118,repairStation / complaintLocation 分为两个字段,"1. 打开新建退件信息表单
2. 查看「修复站点」和「投诉地点」",功能测试,两个字段独立显示，可分别填写,通过,XU Feiran,6/4/2026,
TC-119,普通用户编辑草稿,"1. 普通用户登录
2. 编辑草稿状态退件信息",功能测试,可以编辑,通过,XU Feiran,6/4/2026,
TC-120,普通用户编辑已提交,"1. 普通用户登录
2. 编辑已提交退件信息",权限测试,提示不可编辑或按钮禁用,通过,XU Feiran,6/4/2026,
TC-121,数据校订角色编辑已提交,"1. 切换为数据校订角色
2. 编辑已提交退件信息",权限测试,可以编辑,通过,XU Feiran,6/4/2026,
TC-122,编辑有效状态退货单的退件信息,"1. 创建状态为 draft/submitted 的退货单及关联退件信息
2. 编辑该退件信息
3. 查看关联退货单字段",功能测试,字段可正常编辑，下拉显示有效状态的退货单,通过,XU Feiran,6/4/2026,
TC-123,编辑已关闭订单的退件信息,"1. 关联的退货单状态变为 CLOSED
2. 编辑该退件信息
3. 查看关联退货单字段",状态测试,"关联退货单字段禁用，显示""关联的退货单状态不允许添加退件信息""提示",通过,XU Feiran,6/4/2026,
TC-124,暂存退件详情页显示编辑按钮,"1. 创建退件信息并暂存（状态为 in_initial_analysis）
2. 进入退件详情页",权限测试,显示「编辑」按钮（无需 QMC Leader 权限）,通过,XU Feiran,6/4/2026,
TC-125,暂存退件列表页显示编辑按钮,"1. 创建退件信息并暂存（状态为 in_initial_analysis）
2. 在退件列表页选中该记录",权限测试,编辑按钮可见（无需 QMC Leader 权限）,通过,XU Feiran,6/4/2026,
TC-126,暂存退件编辑页显示暂存和提交,"1. 创建退件信息并暂存（状态为 in_initial_analysis）
2. 点击编辑进入编辑页",功能测试,底部显示「暂存」和「提交」两个按钮,通过,XU Feiran,6/4/2026,
TC-127,删除未提交退件信息,"1. 创建未提交退件信息（partNumber为空）
2. 选中记录
3. 点击删除
4. 确认删除",功能测试,删除成功，列表中不再显示,通过,XU Feiran,6/4/2026,
TC-128,删除已提交退件信息（QMC Leader）,"1. QMC Leader登录
2. 选中已提交退件信息（partNumber不为空）
3. 点击删除
4. 确认删除",功能测试,删除成功，列表中不再显示,通过,XU Feiran,6/4/2026,
TC-129,删除已提交退件信息（其他用户）,"1. 非QMC Leader用户登录
2. 查看已提交退件信息列表",权限测试,删除按钮不可见，无删除入口,通过,XU Feiran,6/4/2026,
TC-130,删除按钮显示控制（未选中）,"1. 进入退件信息列表
2. 不选中任何记录",权限测试,删除按钮不可见,通过,XU Feiran,6/4/2026,
TC-131,删除按钮显示控制（选中1个未提交）,1. 选中1个未提交退件信息（partNumber为空）,功能测试,删除按钮可见,通过,XU Feiran,6/4/2026,
TC-132,删除按钮显示控制（选中1个已提交-普通用户）,"1. 非QMC Leader用户登录
2. 选中1个已提交退件信息（partNumber不为空）",权限测试,删除按钮不可见,通过,XU Feiran,6/4/2026,
TC-133,删除按钮显示控制（选中1个已提交-QMC Leader）,"1. QMC Leader登录
2. 选中1个已提交退件信息（partNumber不为空）",功能测试,删除按钮可见,通过,XU Feiran,6/4/2026,
TC-134,删除按钮显示控制（选中多个未提交）,1. 选中多个未提交退件信息,功能测试,删除按钮可见,通过,XU Feiran,6/4/2026,
TC-135,删除按钮显示控制（选中混合-普通用户）,"1. 非QMC Leader用户登录
2. 选中包含已提交和未提交的退件信息",权限测试,删除按钮不可见,通过,XU Feiran,6/4/2026,
TC-136,删除按钮显示控制（选中混合-QMC Leader）,"1. QMC Leader登录
2. 选中包含已提交和未提交的退件信息",功能测试,删除按钮可见,通过,XU Feiran,6/4/2026,
TC-137,批量删除未提交退件信息,"1. 选中多条未提交退件信息
2. 点击删除
3. 确认删除",功能测试,"全部删除成功，显示""删除成功""提示",通过,XU Feiran,6/4/2026,
TC-138,API权限校验,1. 非QMC Leader用户调用删除API,权限测试,返回403 Forbidden,通过,XU Feiran,6/4/2026,
TC-139,提交生成件号,"1. 创建退件信息
2. 填写完整信息
3. 点击提交",功能测试,自动生成退件信息号，格式：{BU}-{产品平台}-{4位序号}，如 `RBCABS-WSA-0001`,通过,XU Feiran,6/4/2026,
TC-140,件号唯一性,"1. 创建多个退件信息
2. 依次提交",功能测试,每个退件信息号唯一，不重复,通过,XU Feiran,6/4/2026,
TC-141,查看详情,"1. 点击退件信息号链接
2. 查看详情页",功能测试,显示完整退件信息信息,通过,XU Feiran,6/4/2026,
TC-142,查看状态步骤条,"1. 进入退件信息详情
2. 查看状态步骤条",状态测试,正确显示当前状态节点,通过,XU Feiran,6/4/2026,
TC-143,查看 QC 号区域,"1. 查看退件信息详情
2. 查看 QC 号输入区域",功能测试,状态符合时显示 QC 号输入框，已有值时展示,通过,XU Feiran,6/4/2026,
TC-144,查看 otherInfo,1. 查看退件信息详情,功能测试,otherInfo 字段正确显示，为空时显示 `-`,通过,XU Feiran,6/4/2026,
TC-145,信息录入中进行中-精分析按钮禁用,1. 进入 `in_initial_analysis` 状态退件详情页,权限测试,「精分析」按钮禁用（灰色不可点击）,通过,XU Feiran,6/5/2026,
TC-146,信息录入已完成-精分析按钮禁用,1. 进入 `initial_analysis_completed` 状态退件详情页,权限测试,「精分析」按钮禁用,通过,XU Feiran,6/5/2026,
TC-147,精分析已跳过-精分析按钮禁用,1. 进入 `analysis_skipped` 状态退件详情页（0km提交后退件）,权限测试,「精分析」按钮禁用,通过,XU Feiran,6/5/2026,
TC-148,已抽样+精分析进行中-精分析按钮可用,1. 进入 `in_detailed_analysis` 且 `isSample=1` 的退件详情页,权限测试,「精分析」按钮可用（蓝色可点击），点击进入精分析表单,通过,XU Feiran,6/5/2026,
TC-149,未抽样+精分析进行中-精分析按钮禁用,1. 进入 `in_detailed_analysis` 但 `isSample=0` 的退件详情页,权限测试,「精分析」按钮禁用,通过,XU Feiran,6/5/2026,
TC-150,精分析已提交-精分析按钮可用,1. 进入 `analysis_report_submitted` 状态退件详情页,权限测试,「精分析」按钮可用，点击查看已填写的报告,通过,XU Feiran,6/5/2026,
TC-151,精分析已完成-精分析按钮可用,1. 进入 `analysis_completed` 状态退件详情页,权限测试,「精分析」按钮可用，点击查看已填写的报告,通过,XU Feiran,6/5/2026,
TC-152,报废中-精分析按钮可用,1. 进入 `scrap_in_progress` 状态退件详情页,权限测试,「精分析」按钮可用，点击查看已填写的报告,通过,XU Feiran,6/5/2026,
TC-153,已报废-精分析按钮可用,1. 进入 `scrapped` 状态退件详情页,权限测试,「精分析」按钮可用，点击查看已填写的报告,通过,XU Feiran,6/5/2026,
TC-154,拍照入口,"1. 进入新建/编辑退件信息表单
2. 在 OCR 区域点击「拍照」按钮",功能测试,移动端直接调起后置相机；PC 端弹出文件选择器,通过,XU Feiran,6/4/2026,
TC-155,上传图片入口,"1. 在 OCR 区域点击「上传图片」按钮
2. 选择本地 jpg/png 图片",权限测试,弹出文件选择器，仅支持 jpg/png，最大 10MB,通过,XU Feiran,6/4/2026,
TC-156,文件格式校验,1. 尝试上传非图片文件（如 .pdf）,权限测试,后端返回错误，提示不支持的格式,通过,XU Feiran,6/4/2026,
TC-157,识别中状态显示,"1. 上传图片后
2. 观察 OCR 区域",权限测试,"显示图片缩略图 + Loading 遮罩 + ""正在识别，请稍候..."" + ""约需 30 秒""提示",通过,XU Feiran,6/4/2026,
