测试用例编号,测试标题,测试步骤,测试类别,建议测试的角色,预期结果,实际结果,执行人,执行日期,备注
TC-013,新建非 0km（如 BA40）失效类型退货单,"1. 新建退货单
2. 「失效类型」选择 BA40（field product）
3. 填写其他信息后暂存",退货单管理,分析员,退货单创建成功，失效类型为 BA40，无 0km 标签,,,,
TC-014,快递退货单的投诉日期自动跟随收件日期,"1. 新建退货单
2. 「退回方式」选择「快递」
3. 填写收件日期
4. 查看投诉日期",退货单管理,分析员,投诉日期不可手填（置灰），自动与收件日期保持一致,,,,
TC-015,快递方式下修改收件日期投诉日期同步,"1. 在快递退货单中将收件日期改为另一天
2. 查看投诉日期",退货单管理,分析员,投诉日期自动更新为新的收件日期,,,,
TC-016,从快递切换为自提后投诉日期可独立修改,"1. 在快递退货单（投诉日期已同步）中，将「退回方式」改为「自提」
2. 修改投诉日期",退货单管理,分析员,投诉日期变为可编辑，可填写与收件日期不同的值,,,,
TC-017,从自提切换为快递后投诉日期同步收件日期,"1. 在自提退货单（收件日期与投诉日期不同）中，将「退回方式」改为「快递」
2. 查看投诉日期",退货单管理,分析员,投诉日期自动同步为收件日期,,,,
TC-018,自提方式下两个日期可独立填写,"1. 新建退货单
2. 「退回方式」选择「自提」
3. 分别填写收件日期和投诉日期为不同日期",退货单管理,分析员,两个日期可各自独立填写，互不影响,,,,
TC-019,编辑草稿退货单,"1. 创建一个草稿退货单
2. 点击「编辑」
3. 修改信息
4. 点击「暂存」",退货单管理,分析员,修改被保存，详情显示更新后的信息,,,,
TC-020,QMC Leader 可编辑已提交退货单,"1. 以 QMC Leader 登录
2. 进入一个已提交的退货单详情
3. 点击「编辑」并修改信息
4. 点击「提交」",退货单管理,分析主管 / 系统管理员,编辑成功，信息更新，页面显示「提交」按钮,,,,
TC-021,非 QMC Leader 不能编辑已提交退货单,"1. 以普通用户（非 QMC Leader）登录
2. 进入一个已提交的退货单详情页",退货单管理,客户质量工程师,看不到「编辑」按钮,,,,
TC-022,编辑时点取消不保存,"1. 进入编辑页面修改若干信息
2. 点击「取消」",退货单管理,分析员,返回列表，修改内容不被保存,,,,
TC-023,删除无退件信息的草稿退货单,"1. 创建一个草稿退货单（且无退件信息）
2. 选中该记录
3. 点击「删除」
4. 确认删除",退货单管理,分析员,弹出简单确认框，确认后删除成功，列表不再显示该记录,,,,任何角色均可删除草稿
TC-024,QMC Leader 可删除已提交且无退件信息的退货单,"1. 以 QMC Leader 登录
2. 选中一个已提交且无退件信息的退货单
3. 点击「删除」
4. 确认",退货单管理,分析主管 / 系统管理员,删除成功，列表不再显示,,,,
TC-025,非 QMC Leader 看不到已提交退货单的删除入口,"1. 以普通用户（非 QMC Leader）登录
2. 查看已提交退货单列表",退货单管理,客户质量工程师,看不到「删除」按钮,,,,
TC-026,批量删除多条无退件信息的草稿,"1. 选中多条草稿退货单（均无退件信息）
2. 点击「删除」
3. 确认",退货单管理,分析员,全部删除成功，提示「删除成功」,,,,
TC-027,批量删除「全部含退件信息」的订单被拦截,"1. 选中多条全部含退件信息的退货单
2. 点击「删除」",退货单管理,分析员,弹出警告框列出订单号及退件数量，只有「取消」按钮，无法删除,,,,
TC-028,批量删除「部分含退件信息」的订单被拦截,"1. 选中多条记录（其中部分含退件信息）
2. 点击「删除」",退货单管理,分析员,弹出警告框列出含退件信息的订单号及数量，只有「取消」按钮，无法删除,,,,
TC-029,QMC Leader 批量删除含已提交订单（无退件）,"1. 以 QMC Leader 登录
2. 选中草稿与已提交订单（均无退件信息）
3. 点击「删除」
4. 确认",退货单管理,分析主管 / 系统管理员,全部删除成功,,,,
TC-030,非 QMC Leader 选中含已提交订单时看不到删除按钮,"1. 以普通用户登录
2. 选中包含已提交订单的记录",退货单管理,客户质量工程师,「删除」按钮不显示,,,,
TC-031,提交草稿退货单生成单号,"1. 创建草稿退货单
2. 点击「提交」
3. 确认提交",退货单管理,分析员,状态变为「已提交」，并生成退货单号,,,,
TC-032,退货单号格式正确,"1. 提交若干退货单
2. 查看生成的单号",退货单管理,分析员,单号格式为「年份后两位+QMC+4位序号」,,,,
TC-033,退货单号唯一不重复,"1. 连续创建并提交多个退货单
2. 对比各单号",退货单管理,分析员,每个退货单号都唯一，互不重复,,,,
TC-034,列表中「草稿」状态显示,"1. 创建一个未提交的退货单
2. 查看列表「状态」列",退货单管理,客户质量工程师,显示灰色「草稿」标签,,,,
TC-035,列表中「已提交」状态显示,"1. 提交一个退货单
2. 查看列表「状态」列",退货单管理,客户质量工程师,显示蓝色「已提交」标签,,,,
TC-036,列表中「退件登记/已完成」状态显示,"1. 对一个已提交退货单执行「结束录入」
2. 查看列表「状态」列",退货单管理,客户质量工程师,显示蓝色「退件登记/已完成」标签,,,,
TC-037,列表中「已报废」状态显示,"1. 将一个退货单的所有关联分析单完成报废
2. 查看列表「状态」列",退货单管理,客户质量工程师,显示红色「已报废」标签,,,,
TC-038,按状态筛选退货单,"1. 在列表「状态」下拉中分别选择草稿/已提交/退件登记/已报废
2. 点击查询",退货单管理,客户质量工程师,仅显示对应状态的退货单,,,,
TC-039,详情页状态步骤条显示,"1. 进入退货单详情页
2. 查看顶部状态步骤条",退货单管理,客户质量工程师,正确显示 4 步（草稿→已提交→退件登记→已报废），已完成节点高亮,,,,
TC-040,退货单状态只能向后流转,"1. 打开一个已提交的退货单
2. 尝试将其退回草稿状态",退货单管理,客户质量工程师,无法回退，状态只能向前流转,,,,
TC-041,草稿状态可编辑,"1. 创建草稿退货单
2. 点击「编辑」",退货单管理,分析员,可以正常编辑,,,,
TC-042,非 QMC Leader 在已提交/已登记退货单看不到编辑按钮,"1. 以普通用户登录
2. 进入已提交或已登记的退货单详情",退货单管理,客户质量工程师,看不到「编辑」按钮,,,,
TC-043,查看退货单详情,"1. 在列表点击某退货单号链接
2. 查看详情页",退货单管理,客户质量工程师,显示完整的退货单信息及关联的退件信息,,,,
TC-044,详情显示关联退件信息列表,"1. 进入有退件信息的退货单详情
2. 查看退件信息区域",退货单管理,客户质量工程师,显示该退货单下所有关联退件信息,,,,
TC-045,详情状态步骤条显示当前节点,"1. 进入退货单详情
2. 查看状态步骤条",退货单管理,客户质量工程师,步骤条正确显示当前所处状态节点,,,,
TC-046,退件信息分页显示,"1. 进入退件信息较多的退货单详情
2. 查看退件信息列表分页器",退货单管理,客户质量工程师,显示分页器，每页默认显示如 10 条,,,,
TC-047,退件信息翻页,"1. 退件信息超过一页时
2. 点击「下一页」",退货单管理,客户质量工程师,正确跳转到下一页并显示对应数据,,,,
TC-048,退件信息页码跳转,"1. 退件信息有多页
2. 点击某个具体页码",退货单管理,客户质量工程师,跳转到指定页，显示对应数据,,,,
TC-049,退件信息每页条数切换,"1. 点击每页条数选择器
2. 选择不同数量（如 20/50/100）",退货单管理,客户质量工程师,每页显示对应数量，分页器随之更新,,,,
TC-050,退件信息总数显示,1. 查看退件信息列表区域底部,退货单管理,客户质量工程师,显示「共 X 条」总条数信息,,,,
TC-051,无退件信息时显示空提示,1. 进入一个无退件信息的退货单详情,退货单管理,客户质量工程师,退件信息区域显示「暂无退件信息」提示,,,,
TC-052,退件信息列表排序,1. 点击退件信息列表的某列表头,退货单管理,客户质量工程师,列表按所选字段排序显示,,,,
TC-053,新增退件后详情自动刷新,"1. 在详情页新增一条退件信息
2. 返回详情页",退货单管理,分析员,退件信息列表自动刷新，显示新增的数据,,,,
TC-054,导出全部退货单,"1. 不设置任何筛选条件
2. 点击「导出」",退货单管理,客户质量工程师,导出包含所有退货单数据的 Excel 文件,,,,
TC-055,导出筛选后的退货单,"1. 设置筛选条件并查询
2. 点击「导出」",退货单管理,客户质量工程师,仅导出筛选后的退货单数据,,,,
TC-056,导出文件可正常打开,"1. 执行导出
2. 打开下载的 Excel 文件",退货单管理,客户质量工程师,文件格式正确，数据完整无误,,,,
TC-057,导出文件名包含日期,"1. 执行导出
2. 查看下载文件名",退货单管理,客户质量工程师,文件名包含日期，格式为 ReturnOrders_YYYYMMDD.xlsx,,,,
TC-058,所有分析单报废后退货单自动变「已报废」,"1. 创建并提交退货单
2. 结束录入
3. 将所有关联分析单完成 WorkON 确认
4. 查看退货单状态",退货单管理,分析员,退货单状态自动变更为「已报废」,,,,
TC-059,仅部分分析单报废时退货单保持已登记,"1. 退货单有 3 个分析单
2. 仅完成其中 2 个的报废
3. 查看退货单状态",退货单管理,分析员,退货单状态保持「退件登记/已完成」,,,,
TC-060,已报废退货单不可编辑,"1. 进入已报废退货单详情
2. 点击「编辑」",退货单管理,分析员,提示「已报废的退货单不允许编辑」,,,,
TC-061,已报废退货单不可删除,"1. 选中一个已报废的退货单
2. 尝试删除",退货单管理,分析员,删除被拒绝，状态不变,,,,
TC-062,列表筛选「已报废」,"1. 列表「状态」筛选选择「已报废」
2. 查看结果",退货单管理,客户质量工程师,仅显示已报废状态的退货单,,,,
TC-063,已报废退货单详情显示报废摘要,1. 进入已报废退货单详情,退货单管理,客户质量工程师,显示红色标签和报废摘要（如「X/Y 分析单已报废」）,,,,
TC-064,已报废退货单表单禁用,1. 进入已报废退货单详情页,退货单管理,客户质量工程师,所有表单控件禁用，操作按钮隐藏,,,,
TC-065,草稿状态「结束录入」按钮禁用,"1. 进入「草稿」状态的退货单详情
2. 查看「结束录入」按钮",退货单管理,分析员,显示「结束录入」按钮，但置灰不可点击,,,,
TC-066,已提交且有退件时「结束录入」可用,"1. 进入「已提交」且已有退件信息的退货单详情
2. 查看「结束录入」按钮",退货单管理,分析员,按钮可用（可点击）,,,,
TC-067,结束录入前弹出确认弹窗,1. 点击「结束录入」按钮,退货单管理,分析员,弹出确认弹窗，提示「结束后将无法再添加或删除退件信息」,,,,
TC-068,确认结束录入后状态变更,1. 在确认弹窗中点击确认,退货单管理,分析员,退货单状态变为「退件登记/已完成」,,,,
TC-069,结束录入后按分析师自动创建分析单,"1. 退货单下有 3 条退件，分析师分别为 A、A、B
2. 结束录入",退货单管理,分析员,系统按分析师分组创建 2 个分析单（A 和 B 各一个），各自关联对应分析师的退件,,,,
TC-070,无退件时结束录入被拒绝,"1. 退货单下无任何退件信息
2. 点击「结束录入」",退货单管理,分析员,提示「请先添加退件信息」，无法结束录入,,,,
TC-071,存在未提交退件时「结束录入」按钮禁用,"1. 进入已提交退货单详情
2. 添加退件信息并仅「暂存」（未提交）
3. 查看「结束录入」按钮",退货单管理,分析员,按钮置灰，悬停提示「存在未提交的退件，请先提交所有退件后再结束录入」,,,,
TC-072,部分退件未提交时按钮禁用,"1. 添加 3 条退件，提交 2 条、暂存 1 条
2. 查看「结束录入」按钮",退货单管理,分析员,按钮置灰，提示存在未提交退件,,,,
TC-073,全部退件已提交时按钮可用,"1. 添加退件信息并全部「提交」
2. 查看「结束录入」按钮",退货单管理,分析员,按钮可用（蓝色可点击）,,,,
TC-074,结束录入后不能再添加退件信息,"1. 结束录入后进入退货单详情
2. 尝试点击「新增退件信息」",退货单管理,分析员,「新增退件信息」按钮不可见或禁用,,,,
TC-075,结束录入后不能再删除退件信息,"1. 结束录入后
2. 尝试删除退件信息",退货单管理,分析员,删除按钮不可见,,,,
TC-076,已结束录入状态不显示「结束录入」按钮,1. 进入已结束录入（退件登记/已完成或已报废）的退货单详情,退货单管理,分析员,不显示「结束录入」按钮,,,,
TC-077,草稿状态可添加退件信息,"1. 进入草稿退货单详情
2. 点击「新增退件信息」",退货单管理,分析员,可正常添加,,,,
TC-078,已提交状态可添加退件信息,"1. 进入已提交退货单详情
2. 点击「新增退件信息」",退货单管理,分析员,可正常添加（结束录入前均可）,,,,
TC-079,已结束录入状态不可添加退件信息,"1. 进入已结束录入的退货单详情
2. 查看「新增退件信息」按钮",退货单管理,分析员,按钮不可见或禁用,,,,
TC-080,已报废状态不可添加退件信息,"1. 进入已报废退货单详情
2. 查看「新增退件信息」按钮",退货单管理,分析员,按钮不可见或禁用,,,,
TC-081,新建时填写「其他信息」,"1. 新建退货单
2. 在「其他信息」字段输入内容
3. 保存",退货单管理,分析员,保存成功，详情页显示所填内容,,,,非必填
TC-082,编辑时修改「其他信息」,"1. 编辑已有退货单
2. 修改「其他信息」
3. 保存",退货单管理,分析员,保存成功，详情页更新为新内容,,,,
TC-083,详情页展示「其他信息」,1. 查看退货单详情,退货单管理,客户质量工程师,「其他信息」正确显示；为空时显示「-」,,,,
TC-084,按关联退货单号查询退件,"1. 进入「退件信息」列表
2. 输入一个关联的退货单号
3. 点击查询",退件信息管理,客户质量工程师,显示该退货单下的退件信息,,,,
TC-085,按零件号查询退件,"1. 在退件信息列表输入零件号
2. 点击查询",退件信息管理,客户质量工程师,显示该零件号的退件信息,,,,
TC-086,按业务单元筛选退件,"1. 选择一个业务单元
2. 点击查询",退件信息管理,客户质量工程师,仅显示该业务单元的退件信息,,,,
TC-087,按产品平台筛选退件,"1. 选择一个产品平台
2. 点击查询",退件信息管理,客户质量工程师,仅显示该产品平台的退件信息,,,,
TC-088,按状态筛选退件,"1. 选择一个状态
2. 点击查询",退件信息管理,客户质量工程师,仅显示该状态的退件信息,,,,
TC-089,按「是否已创建 QC」筛选,"1. 选择「已创建 QC」
2. 点击查询",退件信息管理,客户质量工程师,仅显示已录入 QC 号的退件信息,,,,
TC-090,按分析师搜索退件,"1. 输入分析师名称（可只输部分）
2. 点击查询",退件信息管理,客户质量工程师,仅显示分析师名称包含输入内容的退件信息,,,,
TC-091,清空分析师后恢复全部,"1. 先按分析师查询
2. 清空分析师输入框
3. 点击查询",退件信息管理,客户质量工程师,重新显示全部退件信息,,,,
TC-092,退件列表显示分析师列,1. 打开退件信息列表页,退件信息管理,客户质量工程师,列表中显示「分析师」列，展示各退件的分析师,,,,
TC-093,分析师列排序,1. 点击「分析师」列表头,退件信息管理,客户质量工程师,列表按分析师升序或降序排列,,,,
TC-094,按生产日期范围筛选,"1. 选择生产日期范围
2. 点击查询",退件信息管理,客户质量工程师,仅显示生产日期在该范围内的退件信息,,,,
TC-095,按行驶里程范围筛选（手动输入）,"1. 在公里数范围输入框填入下限和上限
2. 点击查询",退件信息管理,客户质量工程师,仅显示行驶里程在该范围内的退件信息,,,,
TC-096,按行驶里程范围筛选（滑块拖拽）,"1. 拖动公里数范围滑块
2. 点击查询",退件信息管理,客户质量工程师,滑块对应的公里数写入输入框，查询结果符合该范围,,,,
TC-097,行驶里程仅设下限,"1. 只在下限框输入数值，上限留空
2. 点击查询",退件信息管理,客户质量工程师,显示行驶里程≥该下限的全部退件信息,,,,
TC-098,行驶里程仅设上限,"1. 只在上限框输入数值，下限留空
2. 点击查询",退件信息管理,客户质量工程师,显示行驶里程≤该上限的全部退件信息,,,,
TC-099,行驶里程不设限制,"1. 上下限均留空
2. 点击查询",退件信息管理,客户质量工程师,不按里程过滤，显示全部退件信息,,,,
TC-100,重置生产日期与里程范围,"1. 先设置生产日期和里程范围
2. 点击「重置」",退件信息管理,客户质量工程师,范围条件清空，里程输入框恢复「不限」，显示全部,,,,
TC-101,新建退件信息并暂存,"1. 从退货单详情点击「新增退件信息」
2. 填写必填项（关联订单、零件号）
3. 点击「暂存」",退件信息管理,分析员,退件创建成功，状态为「信息录入/进行中」,,,,
TC-102,新建时关联退货单自动预填,1. 从退货单详情点击「新增退件信息」,退件信息管理,分析员,关联退货单字段自动填充为当前退货单,,,,
TC-103,退件必填项校验,"1. 新建退件信息
2. 不填必填项
3. 点击「暂存」",退件信息管理,分析员,表单校验失败，提示必填项,,,,
TC-104,取消创建退件,"1. 新建退件信息填写部分内容
2. 点击「取消」",退件信息管理,分析员,返回列表，数据不保存,,,,
TC-105,关联退货单下拉仅显示已提交状态,"1. 直接进入「新建退件信息」页面（非从退货单详情进入）
2. 查看「关联退货单」下拉",退件信息管理,分析员,下拉仅显示已提交状态的退货单，不显示草稿和已关闭订单,,,,
TC-106,退件「其他信息」可选填,"1. 新建退件信息
2. 在「其他信息」字段输入内容
3. 保存",退件信息管理,分析员,保存成功，详情页显示「其他信息」,,,,非必填
TC-107,客户失效类型仅显示三项,"1. 打开新建退件信息表单
2. 查看「客户失效类型」下拉",退件信息管理,分析员,仅显示 NVH / 功能 / 外观 三个选项,,,,
TC-108,修复站点与投诉地点分为两个字段,"1. 打开新建退件信息表单
2. 查看「修复站点」和「投诉地点」",退件信息管理,分析员,两个字段独立显示，可分别填写,,,,
TC-109,普通用户编辑草稿退件,"1. 以普通用户登录
2. 编辑草稿（暂存）状态的退件信息",退件信息管理,分析员,可以编辑,,,,
TC-110,普通用户不可编辑已提交退件,"1. 以普通用户登录
2. 进入已提交退件信息详情",退件信息管理,客户质量工程师,编辑按钮不可见或禁用,,,,
TC-111,数据校订角色可编辑已提交退件,"1. 切换为「数据校订」角色
2. 编辑已提交退件信息",退件信息管理,分析主管 / 系统管理员,可以编辑,,,,
TC-112,编辑已关闭订单的退件时关联订单禁用,"1. 关联的退货单已变为已关闭状态
2. 编辑该退件信息
3. 查看「关联退货单」字段",退件信息管理,分析员,关联退货单字段禁用，并提示「关联的退货单状态不允许添加退件信息」,,,,
TC-113,暂存退件详情页显示编辑按钮,"1. 创建退件并暂存（未提交）
2. 进入退件详情页",退件信息管理,分析员,显示「编辑」按钮（无需 QMC Leader 权限）,,,,
TC-114,暂存退件编辑页同时显示暂存和提交,"1. 创建退件并暂存
2. 点击「编辑」进入编辑页",退件信息管理,分析员,底部同时显示「暂存」和「提交」两个按钮,,,,
TC-115,删除未提交退件信息,"1. 选中一条未提交退件（无零件号）
2. 点击「删除」
3. 确认",退件信息管理,分析员,删除成功，列表不再显示,,,,任何角色均可删除未提交退件
TC-116,QMC Leader 删除已提交退件信息,"1. 以 QMC Leader 登录
2. 选中已提交退件（有零件号）
3. 点击「删除」
4. 确认",退件信息管理,分析主管 / 系统管理员,删除成功，列表不再显示,,,,
TC-117,普通用户看不到已提交退件的删除按钮,"1. 以普通用户登录
2. 选中一条已提交退件信息",退件信息管理,客户质量工程师,「删除」按钮不可见,,,,
TC-118,未选中退件时不显示删除按钮,"1. 进入退件信息列表
2. 不选中任何记录",退件信息管理,客户质量工程师,「删除」按钮不可见,,,,
TC-119,选中未提交退件时显示删除按钮,1. 选中一条未提交退件（无零件号）,退件信息管理,分析员,「删除」按钮可见,,,,
TC-120,普通用户选中混合（含已提交）退件时看不到删除按钮,"1. 以普通用户登录
2. 选中包含已提交和未提交的退件",退件信息管理,客户质量工程师,「删除」按钮不可见,,,,
TC-121,QMC Leader 选中混合退件时显示删除按钮,"1. 以 QMC Leader 登录
2. 选中包含已提交和未提交的退件",退件信息管理,分析主管,「删除」按钮可见,,,,
TC-122,批量删除未提交退件,"1. 选中多条未提交退件
2. 点击「删除」
3. 确认",退件信息管理,分析员,全部删除成功，提示「删除成功」,,,,
TC-123,提交退件自动生成件号,"1. 创建退件信息并填写完整
2. 点击「提交」",退件信息管理,分析员,自动生成退件号，格式为「业务单元-产品平台-4位序号」（如 RBCABS-WSA-0001）,,,,
TC-124,退件号唯一不重复,"1. 创建并依次提交多个退件
2. 对比各件号",退件信息管理,分析员,每个退件号唯一，互不重复,,,,
TC-125,查看退件信息详情,"1. 点击某退件号链接
2. 查看详情页",退件信息管理,客户质量工程师,显示完整的退件信息,,,,
TC-126,退件详情状态步骤条,"1. 进入退件信息详情
2. 查看状态步骤条",退件信息管理,客户质量工程师,步骤条正确显示当前状态节点,,,,
TC-127,退件详情 QC 号区域,"1. 查看退件信息详情
2. 查看 QC 号区域",退件信息管理,客户质量工程师,状态符合时显示 QC 号输入框，已有值时展示,,,,
TC-128,退件详情展示「其他信息」,1. 查看退件信息详情,退件信息管理,客户质量工程师,「其他信息」正确显示；为空时显示「-」,,,,
TC-129,信息录入进行中时「精分析」按钮禁用,"1. 进入「信息录入/进行中」状态的退件详情
2. 查看「精分析」按钮",退件信息管理,客户质量工程师,按钮置灰不可点击,,,,
TC-130,未抽样时「精分析」按钮禁用,"1. 进入已提交但未被抽中的退件详情
2. 查看「精分析」按钮",退件信息管理,客户质量工程师,按钮置灰,,,,
TC-131,0km（精分析已跳过）退件「精分析」按钮禁用,"1. 进入「精分析/已跳过」状态的 0km 退件详情
2. 查看「精分析」按钮",退件信息管理,客户质量工程师,按钮置灰（0km 跳过精分析，无报告可看）,,,,
TC-132,已抽样且精分析进行中「精分析」按钮可用,"1. 进入「精分析/进行中」且已被抽中的退件详情
2. 查看「精分析」按钮",退件信息管理,分析员,按钮可用（蓝色可点击），点击进入精分析表单,,,,
TC-133,精分析已提交/完成时「精分析」按钮可查看报告,"1. 进入「精分析报告已提交」或「精分析/已完成」状态的退件详情
2. 点击「精分析」按钮",退件信息管理,分析员,可打开并查看已填写的精分析报告,,,,
TC-134,报废中/已报废退件「精分析」按钮可查看报告,"1. 进入「报废中」或「已报废」状态的退件详情
2. 点击「精分析」按钮",退件信息管理,分析员,可打开并查看已填写的精分析报告,,,,
TC-135,OCR 拍照入口,"1. 进入新建/编辑退件信息表单
2. 在 OCR 区域点击「拍照」",退件信息管理,分析员,移动端直接调起后置相机；PC 端弹出文件选择器,,,,
TC-136,OCR 上传图片入口,"1. 在 OCR 区域点击「上传图片」
2. 选择本地 jpg/png 图片",退件信息管理,分析员,弹出文件选择器，仅支持 jpg/png，最大 10MB,,,,
TC-137,OCR 上传非图片文件被拒,1. 尝试上传非图片文件（如 .pdf）,退件信息管理,分析员,提示不支持的格式,,,,
TC-138,OCR 识别中状态显示,"1. 上传图片后
2. 观察 OCR 区域",退件信息管理,分析员,显示图片缩略图、加载遮罩和「正在识别，请稍候…（约需 30 秒）」提示,,,,
TC-139,OCR 识别成功后字段自动填入,"1. 上传图片并等待约 30 秒识别完成
2. 查看客诉信息字段",退件信息管理,分析员,识别到的字段自动填入对应表单控件，无需手动点击；显示绿色成功态,,,,
TC-140,OCR 识别失败时降级为手动填写,"1. 多次上传图片触发随机失败
2. 观察 OCR 区域",退件信息管理,分析员,显示红色失败态，提示「OCR 识别失败，请手动填写」；字段保持原值可手动编辑,,,,
TC-141,OCR 识别中可停止,"1. 上传图片开始识别
2. 识别过程中点击「停止识别」",退件信息管理,分析员,停止识别，OCR 区域恢复空闲状态,,,,
TC-142,OCR 图片大图预览,"1. 识别完成（或失败）后
2. 点击图片缩略图",退件信息管理,分析员,弹出全屏大图预览，可关闭,,,,
TC-143,OCR 重新拍照/上传,"1. 识别完成后
2. 再次点击「拍照」或「上传图片」",退件信息管理,分析员,清除旧结果，重新进入上传流程,,,,
TC-144,OCR 识别结果随退件保存,"1. 新建退件信息时先上传 OCR 图片并等待识别完成
2. 点击「暂存」或「提交」
3. 重新进入该退件详情",退件信息管理,分析员,识别到的字段已保存在该退件信息中,,,,
TC-145,上传单张退件照片,"1. 点击照片上传区域
2. 选择一张图片上传",退件信息管理,分析员,显示该照片缩略图,,,,
TC-146,上传多张退件照片,1. 依次上传多张照片,退件信息管理,分析员,全部显示缩略图,,,,
TC-147,退件照片数量限制,1. 尝试上传超过 20 张照片,退件信息管理,分析员,提示超过数量限制,,,,
TC-148,预览退件照片大图,1. 点击某张照片缩略图,退件信息管理,分析员,弹窗显示大图,,,,
TC-149,删除退件照片,1. 点击某张照片缩略图上的删除按钮,退件信息管理,分析员,该照片被删除,,,,
TC-150,退件照片文件类型限制,1. 尝试上传非图片文件,退件信息管理,分析员,提示文件类型不支持,,,,
TC-151,退件创建前上传的照片自动关联,"1. 新建退件信息前先通过上传按钮上传图片
2. 创建并保存退件信息
3. 进入该退件详情",退件信息管理,分析员,之前上传的图片已自动关联到该退件,,,,
TC-152,QMC Leader 录入 QC 号,"1. 以 QMC Leader 登录
2. 进入已完成精分析的退件详情
3. 输入 QC 号
4. 点击保存",退件信息管理,分析主管 / 系统管理员,QC 号保存成功,,,,
TC-153,QC 号为空时任何人都可录入,"1. 以普通用户登录
2. 进入 QC 号为空的退件详情
3. 输入 QC 号",退件信息管理,客户质量工程师,QC 号输入框可编辑，保存成功,,,,
TC-154,QC 号已有值时仅 QMC Leader 可改,"1. 以普通用户登录
2. 进入 QC 号已填写的退件详情",退件信息管理,客户质量工程师,QC 号输入框只读,,,,
TC-155,QC 号保存后详情更新,"1. 输入 QC 号并保存
2. 刷新详情页",退件信息管理,分析主管,QC 号正确显示,,,,
TC-156,非可录入状态不可录入 QC 号,1. 在非「精分析完成」等可录入状态输入 QC 号,退件信息管理,客户质量工程师,提示当前状态不可录入 QC 号,,,,
TC-157,0km（精分析已跳过）状态可录入 QC 号,"1. 进入「精分析/已跳过」状态的退件详情
2. 输入 QC 号
3. 保存",退件信息管理,分析主管,QC 号保存成功,,,,
TC-158,新建时可选填零件生产日期,"1. 打开新建退件信息表单
2. 选择「零件生产日期」
3. 保存",退件信息管理,分析员,保存成功，详情页显示所选日期,,,,非必填
TC-159,新建时不填生产日期显示空,"1. 打开新建退件信息表单
2. 不填「零件生产日期」
3. 保存",退件信息管理,分析员,保存成功，详情页该字段显示「-」,,,,
TC-160,编辑时修改零件生产日期,"1. 打开已有退件编辑表单
2. 修改「零件生产日期」
3. 保存",退件信息管理,分析员,保存成功，详情页更新为新日期,,,,
TC-161,0km 退件暂存后状态为「信息录入/进行中」,"1. 在 0km（BA20）退货单下新建退件并暂存
2. 查看退件状态",退件信息管理,分析员,退件初始状态为「信息录入/进行中」,,,,
TC-162,0km 退件提交后状态为「精分析/已跳过」,"1. 将暂存的 0km 退件提交
2. 查看退件状态",退件信息管理,分析员,状态变为「精分析/已跳过」,,,,0km 提交后跳过精分析
